director_name,actor_1_name,actor_2_name,language,country,genres,movie_title,combined,Combined1
Naoyuki Itō,Mina Katahira, Yuki Tanaka,Japanese,Japan,Animation Drama Fantasy,Kimi no Koe o Todoketai,Naoyuki Itō Mina Katahira  Yuki Tanaka Animation Drama Fantasy Kimi no Koe o Todoketai,Kimi no Koe o Todoketai Japanese Animation Drama Fantasy
Masato Harada,Junichi Okada, Kōji Yakusho,Japanese,Japan,War History Drama,Sekigahara,Masato Harada Junichi Okada  Kōji Yakusho War History Drama Sekigahara,Sekigahara Japanese War History Drama
Tsutomu Hanabusa,Tao Tsuchiya, Shotaro Mamiya,Japanese,Japan,Comedy,Tori Girl!,Tsutomu Hanabusa Tao Tsuchiya  Shotaro Mamiya Comedy Tori Girl!,Tori Girl! Japanese Comedy
Hirokazu Kore-eda,Masaharu Fukuyama, Kōji Yakusho,Japanese,Japan,Drama Mystery Crime,The Third Murder,Hirokazu Kore-eda Masaharu Fukuyama  Kōji Yakusho Drama Mystery Crime The Third Murder,The Third Murder Japanese Drama Mystery Crime
Kiyoshi Kurosawa,Masami Nagasawa, Ryuhei Matsuda,Japanese,Japan,Science Fiction Drama Thriller,Before We Vanish,Kiyoshi Kurosawa Masami Nagasawa  Ryuhei Matsuda Science Fiction Drama Thriller Before We Vanish,Before We Vanish Japanese Science Fiction Drama Thriller
Susumu Mitsunaka,Ayumu Murase, Kaito Ishikawa,Japanese,Japan,unknown,Haikyū Third Season Movie,Susumu Mitsunaka Ayumu Murase  Kaito Ishikawa unknown Haikyū Third Season Movie,Haikyū Third Season Movie Japanese unknown
"Hisatoshi Shimizu, Tomoki Kyoda",Yuko Sanpei, Keiji Fujiwara,Japanese,Japan,Animation Adventure Drama Science Fiction,Eureka Seven: Hi-Evolution,"Hisatoshi Shimizu, Tomoki Kyoda Yuko Sanpei  Keiji Fujiwara Animation Adventure Drama Science Fiction Eureka Seven: Hi-Evolution",Eureka Seven: Hi-Evolution Japanese Animation Adventure Drama Science Fiction
Hitoshi Ōne,Satoshi Tsumabuki, Kiko Mizuhara,Japanese,Japan,Romance Comedy Drama,A Boy Who Wished to be Okuda Tamio And A Girl Who Drove All Men Crazy!,Hitoshi Ōne Satoshi Tsumabuki  Kiko Mizuhara Romance Comedy Drama A Boy Who Wished to be Okuda Tamio And A Girl Who Drove All Men Crazy!,A Boy Who Wished to be Okuda Tamio And A Girl Who Drove All Men Crazy! Japanese Romance Comedy Drama
Tsutomu Hanabusa,Nanase Nishino, Mai Shiraishi,Japanese,Japan,Drama,Asahinagu,Tsutomu Hanabusa Nanase Nishino  Mai Shiraishi Drama Asahinagu,Asahinagu Japanese Drama
Ryūichi Hiroki,Ryosuke Yamada, Nijiro Murakami,Japanese,Japan,Fantasy Drama,Miracles of the Namiya General Store,Ryūichi Hiroki Ryosuke Yamada  Nijiro Murakami Fantasy Drama Miracles of the Namiya General Store,Miracles of the Namiya General Store Japanese Fantasy Drama
Naoto Kumazawa,Yuriko Yoshitaka, Tori Matsuzaka,Japanese,Japan,Mystery Crime,Yurigokoro,Naoto Kumazawa Yuriko Yoshitaka  Tori Matsuzaka Mystery Crime Yurigokoro,Yurigokoro Japanese Mystery Crime
Tatsuya Ishihara,Tomoyo Kurosawa, Ayaka Asai,Japanese,Japan,unknown,Sound! Euphonium: Todoketai Melody!,Tatsuya Ishihara Tomoyo Kurosawa  Ayaka Asai unknown Sound! Euphonium: Todoketai Melody!,Sound! Euphonium: Todoketai Melody! Japanese unknown
Katsuyuki Motohiro,Takeru Satoh, Gō Ayano,Japanese,Japan,Action Horror Mystery,Ajin,Katsuyuki Motohiro Takeru Satoh  Gō Ayano Action Horror Mystery Ajin,Ajin Japanese Action Horror Mystery
Isao Yukisada,Jun Matsumoto, Kasumi Arimura,Japanese,Japan,Romance,Narratage,Isao Yukisada Jun Matsumoto  Kasumi Arimura Romance Narratage,Narratage Japanese Romance
Takeshi Kitano,Takeshi Kitano, Toshiyuki Nishida,Japanese,Japan,Drama Action Crime,Outrage Coda,Takeshi Kitano Takeshi Kitano  Toshiyuki Nishida Drama Action Crime Outrage Coda,Outrage Coda Japanese Drama Action Crime
Tomonori Sudō,Noriaki Sugiyama, Noriko Shitaya,Japanese,Japan,Action Animation Drama Fantasy Romance,Fate/stay night: Heaven's Feel I. presage flower,Tomonori Sudō Noriaki Sugiyama  Noriko Shitaya Action Animation Drama Fantasy Romance Fate/stay night: Heaven's Feel I. presage flower,Fate/stay night: Heaven's Feel I. presage flower Japanese Action Animation Drama Fantasy Romance
Osamu Nabeshima,Nobunaga Shimazaki, Tatsuhisa Suzuki,Japanese,Japan,unknown,Yowamushi Pedal: Re:GENERATION!,Osamu Nabeshima Nobunaga Shimazaki  Tatsuhisa Suzuki unknown Yowamushi Pedal: Re:GENERATION!,Yowamushi Pedal: Re:GENERATION! Japanese unknown
Takeshi Furusawa,Aoi Morikawa, Kanta Sato,Japanese,Japan,TV Movie Crime Drama,Love and Lies,Takeshi Furusawa Aoi Morikawa  Kanta Sato TV Movie Crime Drama Love and Lies,Love and Lies Japanese TV Movie Crime Drama
Yūichi Fukuda,Kento Yamazaki, Kanna Hashimoto,Japanese,Japan,Comedy,The Disastrous Life of Saiki K.,Yūichi Fukuda Kento Yamazaki  Kanna Hashimoto Comedy The Disastrous Life of Saiki K.,The Disastrous Life of Saiki K. Japanese Comedy
Junichi Ishikawa,Yui Aragaki, Eita Nagayama,Japanese,Japan,Drama Romance,Mixed Doubles!,Junichi Ishikawa Yui Aragaki  Eita Nagayama Drama Romance Mixed Doubles!,Mixed Doubles! Japanese Drama Romance
Gorō Taniguchi,Jun Fukuyama, Takahiro Sakurai,Japanese,Japan,unknown,Code Geass Lelouch of the Resurrection the Movie: Awakening Path,Gorō Taniguchi Jun Fukuyama  Takahiro Sakurai unknown Code Geass Lelouch of the Resurrection the Movie: Awakening Path,Code Geass Lelouch of the Resurrection the Movie: Awakening Path Japanese unknown
Kazuya Shiraishi,Yū Aoi, Sadao Abe,Japanese,Japan,Mystery Drama,Birds Without Names,Kazuya Shiraishi Yū Aoi  Sadao Abe Mystery Drama Birds Without Names,Birds Without Names Japanese Mystery Drama
Takahiro Miki,Toma Ikuta, Suzu Hirose,Japanese,Japan,Drama Thriller TV Movie,My Teacher,Takahiro Miki Toma Ikuta  Suzu Hirose Drama Thriller TV Movie My Teacher,My Teacher Japanese Drama Thriller TV Movie
Mari Asato,Kento Yamazaki, Alice Hirose,Japanese,Japan,Drama Mystery,Hyouka: Forbidden Secrets,Mari Asato Kento Yamazaki  Alice Hirose Drama Mystery Hyouka: Forbidden Secrets,Hyouka: Forbidden Secrets Japanese Drama Mystery
Yōjirō Takita,Kazunari Ninomiya, Hidetoshi Nishijima,Japanese,Japan,Drama,The Last Recipe,Yōjirō Takita Kazunari Ninomiya  Hidetoshi Nishijima Drama The Last Recipe,The Last Recipe Japanese Drama
Kazuhiro Furuhashi,Saori Hayami, Kazuya Nakai,Japanese,Japan,unknown,"Gekijōban Haikara-san ga Tōru Zenpen ~Benio, Hana no 17-sai~","Kazuhiro Furuhashi Saori Hayami  Kazuya Nakai unknown Gekijōban Haikara-san ga Tōru Zenpen ~Benio, Hana no 17-sai~","Gekijōban Haikara-san ga Tōru Zenpen ~Benio, Hana no 17-sai~ Japanese unknown"
Takeshi Furusawa,Elaiza Ikeda, Masaki Nakao,Japanese,Japan,Romance,Bow Then Kiss,Takeshi Furusawa Elaiza Ikeda  Masaki Nakao Romance Bow Then Kiss,Bow Then Kiss Japanese Romance
Kiyoshi Kurosawa,Kaho, Shōta Sometani,Japanese,Japan,Science Fiction,Foreboding,Kiyoshi Kurosawa Kaho  Shōta Sometani Science Fiction Foreboding,Foreboding Japanese Science Fiction
"Hiroyuki Seshita, Kōbun Shizuno",Mamoru Miyano, Takahiro Sakurai,Japanese,Japan,Action Adventure Science Fiction Animation,Godzilla: Planet of the Monsters,"Hiroyuki Seshita, Kōbun Shizuno Mamoru Miyano  Takahiro Sakurai Action Adventure Science Fiction Animation Godzilla: Planet of the Monsters",Godzilla: Planet of the Monsters Japanese Action Adventure Science Fiction Animation
Itsuji Itao,Masaki Suda, Kenta Kiritani,Japanese,Japan,unknown,Hibana,Itsuji Itao Masaki Suda  Kenta Kiritani unknown Hibana,Hibana Japanese unknown
Koichiro Miki,Ayami Nakajo, Jun Shison,Japanese,Japan,Romance Comedy Drama Music,Anonymous Noise,Koichiro Miki Ayami Nakajo  Jun Shison Romance Comedy Drama Music Anonymous Noise,Anonymous Noise Japanese Romance Comedy Drama Music
Minoru Mizoguchi,Kanta Satō, Reina Bisa,Japanese,Japan,unknown,Itazura na Kiss the Movie 3 ~Proposal-Hen~,Minoru Mizoguchi Kanta Satō  Reina Bisa unknown Itazura na Kiss the Movie 3 ~Proposal-Hen~,Itazura na Kiss the Movie 3 ~Proposal-Hen~ Japanese unknown
Fumihiko Sori,Ryosuke Yamada, Atomu Mizuishi,Japanese,Japan,Action Adventure Animation Drama,Fullmetal Alchemist,Fumihiko Sori Ryosuke Yamada  Atomu Mizuishi Action Adventure Animation Drama Fullmetal Alchemist,Fullmetal Alchemist Japanese Action Adventure Animation Drama
Tetsuya Wakano,Yuichi Nakamura, Yūki Kaji,Japanese,Japan,Action Animation Adventure Fantasy,Laughing Under the Clouds Gaiden,Tetsuya Wakano Yuichi Nakamura  Yūki Kaji Action Animation Adventure Fantasy Laughing Under the Clouds Gaiden,Laughing Under the Clouds Gaiden Japanese Action Animation Adventure Fantasy
Teruyuki Yoshida,Yo Oizumi, Ryuhei Matsuda,Japanese,Japan,unknown,Phone Call to the Bar 3.0,Teruyuki Yoshida Yo Oizumi  Ryuhei Matsuda unknown Phone Call to the Bar 3.0,Phone Call to the Bar 3.0 Japanese unknown
Takashi Yamazaki,Masato Sakai, Mitsuki Takahata,Japanese,Japan,Mystery Drama Fantasy,Destiny: The Tale of Kamakura,Takashi Yamazaki Masato Sakai  Mitsuki Takahata Mystery Drama Fantasy Destiny: The Tale of Kamakura,Destiny: The Tale of Kamakura Japanese Mystery Drama Fantasy
Tsutomu Mizushima,Mai Fuchigami, Ai Kayano,Japanese,Japan,Action Animation Comedy,Girls und Panzer das Finale: Part 1,Tsutomu Mizushima Mai Fuchigami  Ai Kayano Action Animation Comedy Girls und Panzer das Finale: Part 1,Girls und Panzer das Finale: Part 1 Japanese Action Animation Comedy
Takahisa Zeze,Takeru Satoh, Tao Tsuchiya,Japanese,Japan,Drama Romance,The 8-Year Engagement,Takahisa Zeze Takeru Satoh  Tao Tsuchiya Drama Romance The 8-Year Engagement,The 8-Year Engagement Japanese Drama Romance
Shinji Ushiro,Mone Kamishiraishi, Yudai Chiba,Japanese,Japan,Animation Family Fantasy Adventure,Yo-kai Watch Shadowside: Oni-ō no Fukkatsu,Shinji Ushiro Mone Kamishiraishi  Yudai Chiba Animation Family Fantasy Adventure Yo-kai Watch Shadowside: Oni-ō no Fukkatsu,Yo-kai Watch Shadowside: Oni-ō no Fukkatsu Japanese Animation Family Fantasy Adventure
"Tsutomu Hanabusa, Hayato Kawai",Kento Nakajima, Yuna Taira,Japanese,Japan,Romance Drama Comedy,Teen Bride,"Tsutomu Hanabusa, Hayato Kawai Kento Nakajima  Yuna Taira Romance Drama Comedy Teen Bride",Teen Bride Japanese Romance Drama Comedy
Koichiro Miki,Mirei Kiritani, Nobuyuki Suzuki,Japanese,Japan,Romance Comedy Action,Revenge Girl,Koichiro Miki Mirei Kiritani  Nobuyuki Suzuki Romance Comedy Action Revenge Girl,Revenge Girl Japanese Romance Comedy Action
Masaharu Take,Kiichi Nakai, Kuranosuke Sasaki,Japanese,Japan,Comedy Crime,We Make Antiques!,Masaharu Take Kiichi Nakai  Kuranosuke Sasaki Comedy Crime We Make Antiques!,We Make Antiques! Japanese Comedy Crime
Tatsuya Ishihara,Jun Fukuyama, Maaya Uchida,Japanese,Japan,Animation Comedy Fantasy,"Love, Chunibyo & Other Delusions! Take on Me","Tatsuya Ishihara Jun Fukuyama  Maaya Uchida Animation Comedy Fantasy Love, Chunibyo & Other Delusions! Take on Me","Love, Chunibyo & Other Delusions! Take on Me Japanese Animation Comedy Fantasy"
Keita Amemiya,Wataru Kuriyama, Junya Ikeda,Japanese,Japan,Action Drama Horror,Garo: Kami no Kiba,Keita Amemiya Wataru Kuriyama  Junya Ikeda Action Drama Horror Garo: Kami no Kiba,Garo: Kami no Kiba Japanese Action Drama Horror
"Tetsurō Araki, Masashi Koizuka",Yūki Kaji, Yui Ishikawa,Japanese,Japan,Action Animation Drama Science Fiction Adventure,Attack on Titan: The Roar of Awakening,"Tetsurō Araki, Masashi Koizuka Yūki Kaji  Yui Ishikawa Action Animation Drama Science Fiction Adventure Attack on Titan: The Roar of Awakening",Attack on Titan: The Roar of Awakening Japanese Action Animation Drama Science Fiction Adventure
Keita Amemiya,Wataru Kuriyama, Junya Ikeda,Japanese,Japan,Action Science Fiction Animation,Mazinger Z: Infinity,Keita Amemiya Wataru Kuriyama  Junya Ikeda Action Science Fiction Animation Mazinger Z: Infinity,Mazinger Z: Infinity Japanese Action Science Fiction Animation
Teppei Nakamura,Hiroshi Tamaki, Yuko Araki,Japanese,Japan,Mystery Crime Drama,Evil and the Mask,Teppei Nakamura Hiroshi Tamaki  Yuko Araki Mystery Crime Drama Evil and the Mask,Evil and the Mask Japanese Mystery Crime Drama
Yuichi Onuma,Hiyori Sakurada, Momoka Ito,Japanese,Japan,Drama,Saki Achiga-hen episode of Side-A,Yuichi Onuma Hiyori Sakurada  Momoka Ito Drama Saki Achiga-hen episode of Side-A,Saki Achiga-hen episode of Side-A Japanese Drama
Kazuhito Nakae,Masami Nagasawa, Issey Takahashi,Japanese,Japan,Drama Mystery,The Lies She Loved,Kazuhito Nakae Masami Nagasawa  Issey Takahashi Drama Mystery The Lies She Loved,The Lies She Loved Japanese Drama Mystery
Kwak Jae-yong,Yuki Furukawa, Takemi Fujii,Japanese,Japan,unknown,Colours of Wind,Kwak Jae-yong Yuki Furukawa  Takemi Fujii unknown Colours of Wind,Colours of Wind Japanese unknown
Katsuo Fukuzawa,Hiroshi Abe, Nanako Matsushima,Japanese,Japan,Thriller Crime Drama,The Crimes That Bind,Katsuo Fukuzawa Hiroshi Abe  Nanako Matsushima Thriller Crime Drama The Crimes That Bind,The Crimes That Bind Japanese Thriller Crime Drama
Kōji Shiraishi,Tori Matsuzaka, Erika Sawajiri,Japanese,Japan,Mystery Thriller,Impossibility Defense,Kōji Shiraishi Tori Matsuzaka  Erika Sawajiri Mystery Thriller Impossibility Defense,Impossibility Defense Japanese Mystery Thriller
Daihachi Yoshida,Ryo Nishikido, Fumino Kimura,Japanese,Japan,Crime Drama,The Scythian Lamb,Daihachi Yoshida Ryo Nishikido  Fumino Kimura Crime Drama The Scythian Lamb,The Scythian Lamb Japanese Crime Drama
Kenji Yasuda,Yuuma Uchida, Minori Suzuki,Japanese,Japan,Animation,Macross Delta the Movie: Passionate Walkūre,Kenji Yasuda Yuuma Uchida  Minori Suzuki Animation Macross Delta the Movie: Passionate Walkūre,Macross Delta the Movie: Passionate Walkūre Japanese Animation
Hideki Takeuchi,Haruka Ayase, Kentaro Sakaguchi,Japanese,Japan,Drama Romance Fantasy,Color Me True,Hideki Takeuchi Haruka Ayase  Kentaro Sakaguchi Drama Romance Fantasy Color Me True,Color Me True Japanese Drama Romance Fantasy
Gorō Taniguchi,Jun Fukuyama, Takahiro Sakurai,Japanese,Japan,unknown,Code Geass Lelouch of the Resurrection the Movie: Rebellion Path,Gorō Taniguchi Jun Fukuyama  Takahiro Sakurai unknown Code Geass Lelouch of the Resurrection the Movie: Rebellion Path,Code Geass Lelouch of the Resurrection the Movie: Rebellion Path Japanese unknown
Isao Yukisada,Fumi Nikaidō, Ryo Yoshizawa,Japanese,Japan,Crime Drama,River's Edge,Isao Yukisada Fumi Nikaidō  Ryo Yoshizawa Crime Drama River's Edge,River's Edge Japanese Crime Drama
Kazuya Shiraishi,Pierre Taki, Rie Kitahara,Japanese,Japan,unknown,Sunny 32,Kazuya Shiraishi Pierre Taki  Rie Kitahara unknown Sunny 32,Sunny 32 Japanese unknown
Katsunori Sato,Takeaki Wachi, Kunihiko Ida,Japanese,Japan,unknown,Dharuriser the Movie,Katsunori Sato Takeaki Wachi  Kunihiko Ida unknown Dharuriser the Movie,Dharuriser the Movie Japanese unknown
Mari Okada,Manaka Iwami, Miyu Irino,Japanese,Japan,Animation Fantasy Romance Drama,Maquia: When the Promised Flower Blooms,Mari Okada Manaka Iwami  Miyu Irino Animation Fantasy Romance Drama Maquia: When the Promised Flower Blooms,Maquia: When the Promised Flower Blooms Japanese Animation Fantasy Romance Drama
Jun Matsumoto,Ai Kayano, Kenichi Suzumura,Japanese,Japan,Action Adventure Animation Crime Science Fiction,Infini-T Force,Jun Matsumoto Ai Kayano  Kenichi Suzumura Action Adventure Animation Crime Science Fiction Infini-T Force,Infini-T Force Japanese Action Adventure Animation Crime Science Fiction
Tetsuo Shinohara,Yuina Kuroshima, Nozomu Kotaki,Japanese,Japan,Action Adventure Crime Drama,Principal!,Tetsuo Shinohara Yuina Kuroshima  Nozomu Kotaki Action Adventure Crime Drama Principal!,Principal! Japanese Action Adventure Crime Drama
Takuya Igarashi,Yūto Uemura, Mamoru Miyano,Japanese,Japan,Animation Action Comedy Mystery Crime Fantasy,Bungo Stray Dogs: Dead Apple,Takuya Igarashi Yūto Uemura  Mamoru Miyano Animation Action Comedy Mystery Crime Fantasy Bungo Stray Dogs: Dead Apple,Bungo Stray Dogs: Dead Apple Japanese Animation Action Comedy Mystery Crime Fantasy
Kazuaki Imai,Wasabi Mizuta, Megumi Ohara,Japanese,Japan,Animation,Doraemon the Movie: Nobita's Treasure Island,Kazuaki Imai Wasabi Mizuta  Megumi Ohara Animation Doraemon the Movie: Nobita's Treasure Island,Doraemon the Movie: Nobita's Treasure Island Japanese Animation
Takahiro Miki,Yuri Chinen, Taishi Nakagawa,Japanese,Japan,Music Romance Family Drama,Kids on the Slope,Takahiro Miki Yuri Chinen  Taishi Nakagawa Music Romance Family Drama Kids on the Slope,Kids on the Slope Japanese Music Romance Family Drama
Tomoyuki Takimoto,Takanori Iwata, Mizuki Yamamoto,Japanese,Japan,Mystery,"Last Winter, We Parted","Tomoyuki Takimoto Takanori Iwata  Mizuki Yamamoto Mystery Last Winter, We Parted","Last Winter, We Parted Japanese Mystery"
Yōjirō Takita,Sayuri Yoshinaga, Masato Sakai,Japanese,Japan,Drama,Sakura Guardian in the North,Yōjirō Takita Sayuri Yoshinaga  Masato Sakai Drama Sakura Guardian in the North,Sakura Guardian in the North Japanese Drama
Norihiro Koizumi,Suzu Hirose, Shuhei Nomura,Japanese,Japan,Drama Romance Comedy,Chihayafuru Part 3,Norihiro Koizumi Suzu Hirose  Shuhei Nomura Drama Romance Comedy Chihayafuru Part 3,Chihayafuru Part 3 Japanese Drama Romance Comedy
Yoko Ikeda,Rie Hosaka, Rina Honnizumi,Japanese,Japan,unknown,Pretty Cure Superstars!,Yoko Ikeda Rie Hosaka  Rina Honnizumi unknown Pretty Cure Superstars!,Pretty Cure Superstars! Japanese unknown
Katsuyuki Motohiro,Sota Fukushi, Yuma Nakayama,Japanese,Japan,Action Animation Adventure Fantasy,Laughing Under the Clouds,Katsuyuki Motohiro Sota Fukushi  Yuma Nakayama Action Animation Adventure Fantasy Laughing Under the Clouds,Laughing Under the Clouds Japanese Action Animation Adventure Fantasy
Kōji Shintoku,Sho Hirano, Yuna Taira,Japanese,Japan,Romance,Honey So Sweet,Kōji Shintoku Sho Hirano  Yuna Taira Romance Honey So Sweet,Honey So Sweet Japanese Romance
Various,Sion Sono, Kenji Yamauchi,Japanese,Japan,Action Comedy Fantasy Romance Music Drama,The Bastard and the Beautiful World,Various Sion Sono  Kenji Yamauchi Action Comedy Fantasy Romance Music Drama The Bastard and the Beautiful World,The Bastard and the Beautiful World Japanese Action Comedy Fantasy Romance Music Drama
Hideaki Nakano,Takuma Terashima, Yūki Kaji,Japanese,Japan,Animation Action Comedy Fantasy,Servamp: Alice in the Garden,Hideaki Nakano Takuma Terashima  Yūki Kaji Animation Action Comedy Fantasy Servamp: Alice in the Garden,Servamp: Alice in the Garden Japanese Animation Action Comedy Fantasy
Tachikawa Yuzuru,Minami Takayama, Wakana Yamazaki,Japanese,Japan,Animation Crime Mystery Action Drama,Detective Conan: Zero the Enforcer,Tachikawa Yuzuru Minami Takayama  Wakana Yamazaki Animation Crime Mystery Action Drama Detective Conan: Zero the Enforcer,Detective Conan: Zero the Enforcer Japanese Animation Crime Mystery Action Drama
Wataru Takahashi,Akiko Yajima, Miki Narahashi,Japanese,Japan,Comedy Adventure Animation,Crayon Shin-chan: Burst Serving! Kung Fu Boys ~Ramen Rebellion~,Wataru Takahashi Akiko Yajima  Miki Narahashi Comedy Adventure Animation Crayon Shin-chan: Burst Serving! Kung Fu Boys ~Ramen Rebellion~,Crayon Shin-chan: Burst Serving! Kung Fu Boys ~Ramen Rebellion~ Japanese Comedy Adventure Animation
Shinsuke Sato,Noritake Kinashi, Takeru Satoh,Japanese,Japan,unknown,Inuysashiki,Shinsuke Sato Noritake Kinashi  Takeru Satoh unknown Inuysashiki,Inuysashiki Japanese unknown
Junpei Mizusaki,Kōichi Yamadera, Wataru Takagi,Japanese,Japan,Animation Action,Batman Ninja,Junpei Mizusaki Kōichi Yamadera  Wataru Takagi Animation Action Batman Ninja,Batman Ninja Japanese Animation Action
Sho Tsukikawa,Masaki Suda, Tao Tsuchiya,Japanese,Japan,Romance Comedy Drama,My Little Monster,Sho Tsukikawa Masaki Suda  Tao Tsuchiya Romance Comedy Drama My Little Monster,My Little Monster Japanese Romance Comedy Drama
Ryūichi Hiroki,Hinako Sakurai, Ryo Yoshizawa,Japanese,Japan,Animation Romance,Marmalade Boy,Ryūichi Hiroki Hinako Sakurai  Ryo Yoshizawa Animation Romance Marmalade Boy,Marmalade Boy Japanese Animation Romance
Takashi Miike,Sho Sakurai, Suzu Hirose,Japanese,Japan,Mystery Crime Science Fiction,Laplace's Witch,Takashi Miike Sho Sakurai  Suzu Hirose Mystery Crime Science Fiction Laplace's Witch,Laplace's Witch Japanese Mystery Crime Science Fiction
Nobutaka Yoda,Coco Hayashi, Miyu Kubota,Japanese,Japan,unknown,PriPara and Kiratto Pri Chan the Movie!,Nobutaka Yoda Coco Hayashi  Miyu Kubota unknown PriPara and Kiratto Pri Chan the Movie!,PriPara and Kiratto Pri Chan the Movie! Japanese unknown
Osamu Suzuki,Yō Yoshida, Shuhei Nomura,Japanese,Japan,Comedy Romance,Love × Doc,Osamu Suzuki Yō Yoshida  Shuhei Nomura Comedy Romance Love × Doc,Love × Doc Japanese Comedy Romance
Yukinori Makabe,Ryoichi Tsukada, Iwamoto Hikaru,Japanese,Japan,Western,Last Hold!,Yukinori Makabe Ryoichi Tsukada  Iwamoto Hikaru Western Last Hold!,Last Hold! Japanese Western
Kazuya Shiraishi,Kōji Yakusho, Tori Matsuzaka,Japanese,Japan,Drama Crime,The Blood of Wolves,Kazuya Shiraishi Kōji Yakusho  Tori Matsuzaka Drama Crime The Blood of Wolves,The Blood of Wolves Japanese Drama Crime
Yasuo Tsuruhashi,Hiroshi Abe, Shinobu Terajima,Japanese,Japan,unknown,Nomitori Zamurai,Yasuo Tsuruhashi Hiroshi Abe  Shinobu Terajima unknown Nomitori Zamurai,Nomitori Zamurai Japanese unknown
"Hiroyuki Seshita, Kōbun Shizuno",Mamoru Miyano, Takahiro Sakurai,Japanese,Japan,Animation Science Fiction,Godzilla: City on the Edge of Battle,"Hiroyuki Seshita, Kōbun Shizuno Mamoru Miyano  Takahiro Sakurai Animation Science Fiction Godzilla: City on the Edge of Battle",Godzilla: City on the Edge of Battle Japanese Animation Science Fiction
Yoji Yamada,Isao Hashizume, Kazuko Yoshiyuki,Japanese,Japan,Drama Comedy,What a Wonderful Family 3!,Yoji Yamada Isao Hashizume  Kazuko Yoshiyuki Drama Comedy What a Wonderful Family 3!,What a Wonderful Family 3! Japanese Drama Comedy
Takahisa Zeze,Toma Ikuta, Eita,Japanese,Japan,Comedy Family Horror,My Friend: A,Takahisa Zeze Toma Ikuta  Eita Comedy Family Horror My Friend: A,My Friend: A Japanese Comedy Family Horror
Akira Nagai,Nana Komatsu, Yo Oizumi,Japanese,Japan,Drama,After the Rain,Akira Nagai Nana Komatsu  Yo Oizumi Drama After the Rain,After the Rain Japanese Drama
Gorō Taniguchi,Jun Fukuyama, Takahiro Sakurai,Japanese,Japan,unknown,Code Geass Lelouch of the Resurrection the Movie: Imperial Path,Gorō Taniguchi Jun Fukuyama  Takahiro Sakurai unknown Code Geass Lelouch of the Resurrection the Movie: Imperial Path,Code Geass Lelouch of the Resurrection the Movie: Imperial Path Japanese unknown
Ryo Nakajima,Ryusei Yokohama, Risa Matsukaze,Japanese,Japan,unknown,My Brother's Friend,Ryo Nakajima Ryusei Yokohama  Risa Matsukaze unknown My Brother's Friend,My Brother's Friend Japanese unknown
Eiichirō Hasumi,Masahiro Higashide, Mackenyu,Japanese,Japan,Action,Over Drive,Eiichirō Hasumi Masahiro Higashide  Mackenyu Action Over Drive,Over Drive Japanese Action
Yuichi Fukuda,Takayuki Yamada, Masami Nagasawa,Japanese,Japan,Romance,50 First Kiss,Yuichi Fukuda Takayuki Yamada  Masami Nagasawa Romance 50 First Kiss,50 First Kiss Japanese Romance
Hiroshi Takeuchi,Yūki Kaji, Yumiko Kobayashi,Japanese,Japan,Action Drama History Animation Romance,Peacemaker Kurogane,Hiroshi Takeuchi Yūki Kaji  Yumiko Kobayashi Action Drama History Animation Romance Peacemaker Kurogane,Peacemaker Kurogane Japanese Action Drama History Animation Romance
Kōjirō Hashimoto,Kento Yamazaki, Mone Kamishiraishi,Japanese,Japan,Drama Romance,A Forest of Wool and Steel,Kōjirō Hashimoto Kento Yamazaki  Mone Kamishiraishi Drama Romance A Forest of Wool and Steel,A Forest of Wool and Steel Japanese Drama Romance
Hirokazu Kore-eda,Lily Franky, Sakura Ando,Japanese,Japan,Comedy Drama,Shoplifters,Hirokazu Kore-eda Lily Franky  Sakura Ando Comedy Drama Shoplifters,Shoplifters Japanese Comedy Drama
Hideo Nakata,Hiroshi Tachi, Hitomi Kuroki,Japanese,Japan,Drama Comedy,Life in Overtime,Hideo Nakata Hiroshi Tachi  Hitomi Kuroki Drama Comedy Life in Overtime,Life in Overtime Japanese Drama Comedy
Katsuhide Motoki,Tomoya Nagase, Dean Fujioka,Japanese,Japan,Action Science Fiction Adventure Thriller,Recall,Katsuhide Motoki Tomoya Nagase  Dean Fujioka Action Science Fiction Adventure Thriller Recall,Recall Japanese Action Science Fiction Adventure Thriller
Wui Shin Chong,Yōko Maki, Mao Inoue,Japanese,Japan,Drama,Yakiniku Dragon,Wui Shin Chong Yōko Maki  Mao Inoue Drama Yakiniku Dragon,Yakiniku Dragon Japanese Drama
Shinichiro Ueda,Takayuki Hamatsu, Mao,Japanese,Japan,Comedy Horror,One Cut of the Dead,Shinichiro Ueda Takayuki Hamatsu  Mao Comedy Horror One Cut of the Dead,One Cut of the Dead Japanese Comedy Horror
Isshin Inudo,Erika Sawajiri, Ryo Yoshizawa,Japanese,Japan,unknown,The Cat in His Arms,Isshin Inudo Erika Sawajiri  Ryo Yoshizawa unknown The Cat in His Arms,The Cat in His Arms Japanese unknown
Toru Yamamoto,Tina Tamashiro, Yuta Koseki,Japanese,Japan,Comedy Romance,Missions of Love,Toru Yamamoto Tina Tamashiro  Yuta Koseki Comedy Romance Missions of Love,Missions of Love Japanese Comedy Romance
